Prediction Datetime,Resolution code,Quarter hour,Input data availability,System imbalance forecast,"Probability in [-inf,-400]","Probability in [-400,-200]","Probability in [-200,0]","Probability in [0,200]","Probability in [200,400]","Probability in [400,inf]"
2023-01-31T04:56:07+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,92.87283592657931,4.845457804006608e-14,1.6592958152630116e-07,0.02571178024444164,0.9458296479185101,0.02845165176546307,6.754141955355532e-06
2023-01-31T04:55:06+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,82.04514328015554,1.55983547981534e-12,9.534405542338537e-07,0.03554953515771586,0.922613274284549,0.04181487675028797,2.1360365333199255e-05
2023-01-31T04:54:06+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,103.16500499608539,4.581554505417408e-11,5.381858861336812e-06,0.04902926654733504,0.9071532737785633,0.043778730481932225,3.3347287492563993e-05
2023-01-31T04:53:06+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,86.30975486323214,9.056397522773678e-09,5.537528884781004e-05,0.1008788487038439,0.8489813683460438,0.049960409334267555,0.000123989270599475
2023-01-31T04:52:06+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,102.22551953193509,1.2049684502524496e-07,0.00022419521411994755,0.12210218132220012,0.8279433243479121,0.049543017683137534,0.00018716093578537984
2023-01-31T04:51:07+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,23.846520781728582,4.0598054635512335e-06,0.0032146477162481816,0.35042220520049444,0.6285575140629251,0.017669090350098178,0.000132482864770433
2023-01-31T04:50:06+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,42.30597598120605,8.289185448060037e-06,0.003404672638569317,0.28815464636978205,0.6614096010707232,0.04638548456111796,0.0006373061743593712
2023-01-31T04:49:07+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,61.21244765367172,1.7645537223578927e-05,0.0029359078758654593,0.20134681680211405,0.6755309935851626,0.11648775091356121,0.003680885286073197
2023-01-31T04:48:06+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,82.10607097962824,0.0001951021111374599,0.008455388683019892,0.22872758856952602,0.5915063230272164,0.1543967356103349,0.016718861998765308
2023-01-31T04:47:06+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,52.212155405634746,0.0002664357782913115,0.013897825814592849,0.28073852041064334,0.5412146272974914,0.15695238558442112,0.006930205114559964
2023-01-31T04:46:06+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,56.644084209280294,0.0003589155522551893,0.015616459944733329,0.28016668246293297,0.5354991157433595,0.16110554096421234,0.007253285332506797
2023-01-31T04:45:06+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,72.32230356248951,0.0006007692065212275,0.01917336462481369,0.2859631465375951,0.535374000422038,0.15237084957225702,0.00651786963677512
2023-01-31T04:44:06+00:00,PT1M,2023-01-31T04:30:00+00:00,1.0,58.844803268476994,7.115173775890983e-17,1.654745481796594e-08,0.023805881076266987,0.9759579763938482,0.00023612574707951352,2.353504010728683e-10
